name	indication	catagories	synonyms
Lepirudin	For the treatment of heparin-induced thrombocytopenia	Fibrinolytic Agents****spec****Antithrombins****spec****	Hirudin variant-1****spec****Lepirudin recombinant****spec****
Cetuximab	For treatment of EGFR-expressing metastatic colorectal cancer in patients who are refractory to other irinotecan-based chemotherapy regimens. Cetuximab is also indicated for treatment of squamous cell carcinoma of the head and neck in conjucntion with radiation therapy.	Antineoplastic Agents****spec****	Anti EGFR****spec****IMC-C225****spec****
Dornase alfa	Used as adjunct therapy in the treatment of cystic fibrosis. 	Enzymes****spec****	Deoxyribonuclease I****spec****Deoxyribonuclease-1 precursor****spec****DNase****spec****DNase I****spec****rhDNase****spec****
Denileukin diftitox	For treatment of cutaneous T-cell lymphoma	Antineoplastic Agents****spec****	Diphtheria toxin precursor****spec****DT****spec****NAD(+--diphthamide ADP- ribosyltransferase)****spec****
Etanercept	For treatment of severe active rheumatoid arthritis in adults, severe juvenile idiopathic arthritis, ankylosing spondylitis, and severe plaque psoriasis.	Immunosuppressive Agents****spec****Immunosuppressants****spec****	CD120b****spec****p75****spec****p80 TNF-alpha receptor****spec****TNF-R2****spec****Tumor necrosis factor receptor 2****spec****Tumor necrosis factor receptor superfamily member 1B precursor****spec****Tumor necrosis factor receptor type II****spec****
Bivalirudin	For treatment of heparin-induced thrombocytopenia and for the prevention of thrombosis. Bivalirudin is indicated for use in patients undergoing percutaneous coronary intervention (PCI), in patients at moderate to high risk acute coronary syndromes due to unstable angina or non-ST segment elevation in whom a PCI is planned.	Antithrombins****spec****	
Leuprolide	For treatment of prostate cancer, endometriosis, uterine fibroids and premature puberty	Estrogen Antagonists****spec****Antineoplastic Agents, Hormonal****spec****Hyperglycemia-Associated Agents****spec****Fertility Agents, Female****spec****Moderate Risk QTc-Prolonging Agents****spec****	(D-Leu(6),des-gly-NH2(10),pro-ethylamide(9))-gonadotropin-releasing hormone****spec****L-Pyroglutamyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-D-leucyl-L-leucyl-L-arginyl-L-proline ethylamide****spec****Leuprorelin****spec****Leuprorelina****spec****Leuproreline****spec****Leuprorelinum****spec****PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-NHC2H5****spec****PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-nhet****spec****
Peginterferon alfa-2a	For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma.	Immunosuppressive Agents****spec****Myelosuppressive Agents****spec****	
Alteplase	For management of acute myocardial infarction, acute ischemic strok and for lysis of acute pulmonary emboli	Thrombolytic Agents****spec****	t-PA****spec****t-plasminogen activator****spec****Tissue-type plasminogen activator precursor****spec****tPA****spec****
Sermorelin	For the treatment of dwarfism, prevention of HIV-induced weight loss	Hormone Replacement Agents****spec****	
Interferon alfa-n1	For treatment of venereal or genital warts caused by the Human Papiloma Virus	Antiviral Agents****spec****Immunosuppressive Agents****spec****Immunologic Factors****spec****	Interferon alpha-2****spec****Interferon alpha-A****spec****Interferon alpha-n1 (Ins)****spec****LeIF A****spec****
Darbepoetin alfa	For the treatment of anemia (from renal transplants or certain HIV treatment)	Erythropoiesis-Stimulating Agents****spec****Anti-anemic Agents****spec****Hematinics****spec****	Epoetin****spec****Erythropoietin precursor****spec****
Urokinase	Urokinase can be used for the treatment of pulminary embolism, coronary artery thrombosis, IV catheter clearance, and venous and arterial blood clots.	Thrombolytic Agents****spec****	U-plasminogen activator****spec****uPA****spec****Urokinase-type plasminogen activator precursor****spec****
Goserelin	Used to treat hormone-sensitive cancers of the breast (in pre- and peri- menopausal women) and prostate, and some benign gynaecological disorders (endometriosis, uterine fibroids and endometrial thinning). In addition, goserelin is used in assisted reproduction and in the treatment of precocious puberty.	Moderate Risk QTc-Prolonging Agents****spec****	Goserelin****spec****Goserelin acetate****spec****ICI-118630****spec****Zoladex****spec****
Reteplase	For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction	Fibrinolytic Agents****spec****Thrombolytic Agents****spec****	t- PA****spec****t-plasminogen activator****spec****Tissue-type plasminogen activator precursor****spec****tPA****spec****
Epoetin alfa	For treatment of anemia (from renal transplants or certain HIV treatment)	Anti-anemic Agents****spec****Hematinics****spec****	Erythropoietin precursor****spec****
Salmon Calcitonin	Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Calcitonin can be used in patients with azotemia and cases where intravenous fluids would be contraindicated due to limited cardiac reserves. Also for the treatment of post-menopausal osteoporosis in women more than 5 years post-menopause.  	Anti-Osteporotic Agents****spec****Antihypercalcemic Agents****spec****Bone Density Conservation Agents****spec****	Calcimar****spec****Calcitonin (Salmon Synthetic)****spec****Calcitonin 1 precursor****spec****Calcitonin Salmon****spec****Calcitonin salmon recombinant****spec****Calcitonin-salmon****spec****Calcitonin, salmon****spec****Cibacalcin****spec****Fortical****spec****Miacalcin****spec****Salmon calcitonin****spec****Salmotonin****spec****
Interferon alfa-n3	For the intralesional treatment of refractory or recurring external condylomata acuminata.	Immunosuppressive Agents****spec****	
